Serial Initialized
Time,Final Dest Ticks,Final Dest Deg,Pr Ticks,Pr Deg,Pm Ticks,Pm Deg,Kp,Kd,Vm,T
10,64,360,8,45,0,0,32,4,0,256
20,64,360,8,45,0,0,32,4,0,256
30,64,360,8,45,0,0,32,4,0,256
40,64,360,8,45,0,0,32,4,0,256
50,64,360,8,45,0,0,32,4,0,256
60,64,360,9,50,1,5,32,4,0,256
70,64,360,10,56,2,11,32,4,0,256
80,64,360,10,56,2,11,32,4,0,256
90,64,360,11,61,3,16,32,4,0,256
100,64,360,12,67,4,22,32,4,45,224
110,64,360,12,67,5,28,32,4,45,192
120,64,360,14,78,6,33,32,4,45,224
130,64,360,14,78,6,33,32,4,45,224
140,64,360,16,90,8,45,32,4,45,224
150,64,360,16,90,8,45,32,4,45,224
160,64,360,17,95,10,56,32,4,45,192
170,64,360,18,101,10,56,32,4,45,224
180,64,360,19,106,11,61,32,4,45,224
190,64,360,20,112,12,67,32,4,45,224
200,64,360,20,112,13,73,32,4,56,184
210,64,360,22,123,14,78,32,4,56,216
220,64,360,22,123,14,78,32,4,56,216
230,64,360,24,135,16,90,32,4,56,216
240,64,360,24,135,16,90,32,4,56,216
250,64,360,25,140,18,101,32,4,56,184
260,64,360,26,146,18,101,32,4,56,216
270,64,360,27,151,19,106,32,4,56,216
280,64,360,28,157,20,112,32,4,56,216
290,64,360,28,157,21,118,32,4,56,184
300,64,360,30,168,22,123,32,4,45,224
310,64,360,30,168,22,123,32,4,45,224
320,64,360,31,174,24,135,32,4,45,192
330,64,360,32,180,24,135,32,4,45,224
340,64,360,33,185,26,146,32,4,45,192
350,64,360,34,191,26,146,32,4,45,224
360,64,360,34,191,27,151,32,4,45,192
370,64,360,36,202,28,157,32,4,45,224
380,64,360,36,202,29,163,32,4,45,192
390,64,360,38,213,30,168,32,4,45,224
400,64,360,38,213,30,168,32,4,45,224
410,64,360,39,219,32,180,32,4,45,192
420,64,360,40,225,32,180,32,4,45,224
430,64,360,41,230,33,185,32,4,45,224
440,64,360,42,236,34,191,32,4,45,224
450,64,360,42,236,35,196,32,4,56,184
460,64,360,44,247,36,202,32,4,56,216
470,64,360,44,247,37,208,32,4,56,184
480,64,360,46,258,38,213,32,4,56,216
490,64,360,46,258,39,219,32,4,56,184
500,64,360,47,264,40,225,32,4,56,184
510,64,360,48,270,40,225,32,4,56,216
520,64,360,49,275,42,236,32,4,56,184
530,64,360,50,281,42,236,32,4,56,216
540,64,360,51,286,43,241,32,4,56,216
550,64,360,52,292,44,247,32,4,45,224
560,64,360,52,292,45,253,32,4,45,192
570,64,360,54,303,46,258,32,4,45,224
580,64,360,54,303,47,264,32,4,45,192
590,64,360,56,315,48,270,32,4,45,224
600,64,360,56,315,49,275,32,4,56,184
