Serial Initialized
Time,Final Dest Ticks,Final Dest Deg,Pr Ticks,Pr Deg,Pm Ticks,Pm Deg,Kp,Kd,Vm,T
10,64,360,8,45,0,0,32,4,0,0
20,64,360,8,45,0,0,32,4,0,256
30,64,360,8,45,0,0,32,4,0,256
40,64,360,8,45,0,0,32,4,0,256
50,64,360,8,45,0,0,32,4,0,256
60,64,360,8,45,0,0,32,4,0,256
70,64,360,8,45,0,0,32,4,0,256
80,64,360,8,45,2,11,32,4,0,192
90,64,360,10,56,2,11,32,4,0,192
100,64,360,10,56,4,22,32,4,22,176
110,64,360,12,67,4,22,32,4,22,176
120,64,360,12,67,5,28,32,4,22,208
130,64,360,13,73,5,28,32,4,22,208
140,64,360,13,73,6,33,32,4,22,208
150,64,360,14,78,6,33,32,4,22,208
160,64,360,14,78,8,45,32,4,22,176
170,64,360,16,90,8,45,32,4,22,176
180,64,360,16,90,10,56,32,4,22,176
190,64,360,18,101,10,56,32,4,22,176
200,64,360,18,101,12,67,32,4,45,160
210,64,360,20,112,12,67,32,4,45,160
220,64,360,20,112,13,73,32,4,45,192
230,64,360,21,118,13,73,32,4,45,192
240,64,360,21,118,15,84,32,4,45,160
250,64,360,23,129,15,84,32,4,45,160
260,64,360,23,129,17,95,32,4,45,160
270,64,360,25,140,17,95,32,4,45,160
280,64,360,25,140,18,101,32,4,45,192
290,64,360,26,146,18,101,32,4,45,192
300,64,360,26,146,20,112,32,4,45,160
310,64,360,28,157,20,112,32,4,45,160
320,64,360,28,157,22,123,32,4,45,160
330,64,360,30,168,22,123,32,4,45,160
340,64,360,30,168,24,135,32,4,45,160
350,64,360,32,180,24,135,32,4,45,160
360,64,360,32,180,25,140,32,4,45,192
370,64,360,33,185,25,140,32,4,45,192
380,64,360,33,185,27,151,32,4,45,160
390,64,360,35,196,27,151,32,4,45,160
400,64,360,35,196,29,163,32,4,50,156
410,64,360,37,208,29,163,32,4,50,156
420,64,360,37,208,30,168,32,4,50,188
430,64,360,38,213,30,168,32,4,50,188
440,64,360,38,213,32,180,32,4,50,156
450,64,360,40,225,32,180,32,4,50,156
